epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.989,2.00289,2.33455,2.1252,0.24101,0.40143,0.26633,0.09946,1.9812,3.86401,2.25136,0.0700446,0.00332838,0.00332838
2,215.63,1.92779,2.1058,2.06758,0.53626,0.50364,0.48058,0.18597,1.97897,1.79572,2.17501,0.0400265,0.00664365,0.00664365
3,318.215,1.86583,2.01198,1.99856,0.63348,0.51648,0.52804,0.23529,1.86681,1.68731,2.00621,0.00993646,0.00988693,0.00988693
4,419.823,1.83029,1.93079,1.94573,0.67622,0.5526,0.60404,0.26028,1.93194,1.80066,2.09136,0.00975773,0.00975773,0.00975773
5,522.76,1.7847,1.88045,1.90074,0.75863,0.52137,0.5997,0.2525,1.93531,1.56728,2.07332,0.00957205,0.00957205,0.00957205
6,622.706,1.75197,1.81263,1.85595,0.73869,0.54709,0.62248,0.28751,1.8461,1.56371,1.95105,0.00933683,0.00933683,0.00933683
7,723.731,1.75981,1.78167,1.84929,0.69259,0.57228,0.61236,0.25577,1.93407,1.54322,2.03184,0.00905463,0.00905463,0.00905463
8,823.937,1.71873,1.76488,1.83582,0.77855,0.56001,0.64434,0.28908,1.84466,1.43632,1.94996,0.00872857,0.00872857,0.00872857
9,925.336,1.70815,1.74449,1.8201,0.74879,0.57948,0.65121,0.29497,1.84204,1.43289,1.95778,0.0083622,0.0083622,0.0083622
10,1027.16,1.6678,1.71155,1.78252,0.80739,0.547,0.64944,0.28583,1.88369,1.41027,1.97772,0.00795954,0.00795954,0.00795954
11,1126.01,1.68579,1.68771,1.79446,0.80868,0.56328,0.65081,0.27297,1.93871,1.44406,2.01469,0.007525,0.007525,0.007525
12,1224.79,1.67253,1.68846,1.79375,0.78278,0.56369,0.65022,0.29244,1.82237,1.40671,1.92406,0.00706335,0.00706335,0.00706335
13,1325.68,1.66248,1.6636,1.78549,0.77046,0.56146,0.64854,0.29854,1.81631,1.41146,1.93987,0.00657963,0.00657963,0.00657963
14,1426.97,1.63796,1.63412,1.75558,0.75155,0.60014,0.65895,0.29503,1.83475,1.37975,1.90708,0.00607916,0.00607916,0.00607916
15,1525.91,1.63047,1.59825,1.75425,0.77801,0.56565,0.67351,0.30257,1.86379,1.37701,1.94827,0.00556742,0.00556742,0.00556742
16,1626.25,1.61491,1.60761,1.73743,0.76408,0.60227,0.68919,0.31767,1.79796,1.33043,1.89834,0.00505,0.00505,0.00505
17,1727.05,1.60753,1.59489,1.74791,0.76049,0.60966,0.68659,0.3163,1.79473,1.3273,1.88851,0.00453258,0.00453258,0.00453258
18,1827.39,1.57833,1.54758,1.71853,0.80736,0.58232,0.6784,0.31031,1.8021,1.32295,1.88559,0.00402084,0.00402084,0.00402084
19,1929.76,1.56656,1.53265,1.69633,0.75286,0.62371,0.68721,0.32035,1.81728,1.2673,1.89746,0.00352037,0.00352037,0.00352037
20,2031.2,1.56001,1.51534,1.69678,0.7743,0.59783,0.68959,0.31952,1.78979,1.2698,1.88109,0.00303665,0.00303665,0.00303665
21,2121.53,1.49876,1.26579,1.75737,0.78536,0.5911,0.68718,0.31084,1.81043,1.28809,1.89228,0.002575,0.002575,0.002575
22,2208.91,1.47414,1.22846,1.73109,0.74554,0.60896,0.69305,0.32277,1.82503,1.28778,1.9035,0.00214046,0.00214046,0.00214046
23,2298.76,1.44641,1.18257,1.71248,0.78951,0.60956,0.70075,0.32664,1.80032,1.23754,1.87373,0.0017378,0.0017378,0.0017378
24,2390.17,1.4422,1.15673,1.70792,0.77983,0.59969,0.69611,0.32341,1.82038,1.25602,1.88681,0.00137143,0.00137143,0.00137143
25,2478.86,1.40643,1.13665,1.67164,0.80079,0.61235,0.70751,0.34203,1.74593,1.21634,1.82447,0.00104537,0.00104537,0.00104537
26,2568.42,1.39536,1.12145,1.66882,0.74764,0.62942,0.70316,0.33385,1.7911,1.22307,1.85923,0.000763174,0.000763174,0.000763174
27,2656.43,1.38267,1.08798,1.65992,0.8158,0.6066,0.71052,0.34088,1.78007,1.20957,1.85971,0.00052795,0.00052795,0.00052795
28,2745.87,1.38385,1.08449,1.66003,0.83205,0.60162,0.71619,0.3404,1.77819,1.2034,1.85279,0.00034227,0.00034227,0.00034227
29,2834.99,1.38092,1.08563,1.65388,0.77852,0.62667,0.71389,0.33799,1.78356,1.20518,1.85661,0.000208169,0.000208169,0.000208169
30,2924.34,1.35828,1.07191,1.6355,0.80753,0.62183,0.71999,0.34431,1.77126,1.19078,1.84532,0.000127117,0.000127117,0.000127117
